term,definition,notes,category,theme_primary,register,authority_requirement,proof_type,exposure_cost,overuse_penalty,silence_preferred_when_blocked,replacement_if_blocked,cultural_specificity,scene_weight,era_scene,usage_mode
"and ""High Value"" status.","Financial dominance over women, emotional coldness, ""City Boys Up.""","The Male Agenda motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Prioritizing self-gain,"""City Girls,"" Manifestation, using men for resources, independence.","The Female Agenda motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""leveling up","""City Girls,"" Manifestation, using men for resources, independence.","The Female Agenda motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" and financial extraction.","""City Girls,"" Manifestation, using men for resources, independence.","The Female Agenda motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Seeking enlightenment and battling ""negative energy.""","Opening the ""Third Eye,"" Ancestral protection, Spiritual warfare.","The Spiritual/Esoteric Ada motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Believing in hidden hand behind world events.,"Population control, ""Digital Dollars,"" escaping the system.","The Conspiracy Ada motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Labels vs. Independent Artists,"Masters, 360 Deal, Advance, Equity, ""Slave Contract.""","The Corporate Ada motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Maintaining ""Realness""","Paperwork, Snitching, ""Civilians,"" ""Smacked,"" ""Taxing.""","The Street Ada motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Toxic Masculinity / Empowerment,"""City Boys Up,"" ""BBL Drizzy,"" ""High Value,"" ""Low Vibrational.""","The Relationship Ada motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Generational Wealth,"Trust funds, Portfolios, Land ownership, ""Generational Run.""","The Wealth Ada motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Detachment: ""She belongs to the streets."" Feelings are a weakness; money is the only constant.","Finesse: ""He’s a trick."" Using beauty and charm to extract resources from ""tricks.""","Philosophy motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Gatekeeping: Using wealth to control access or ""upgrade"" a woman's life to keep her loyal.","Manifestation: ""Leveling up"" via a ""Sponsor"" or ""Sugar Daddy"" to fund a luxury lifestyle.","Financials motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Quantity: Having ""rotations"" of women across different area codes.","The ""Bag"": Showing off the Birkin, the jewelry, or the BBL paid for by a man.","The ""Flex"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Toxic","""P*ssy Power,"" ""Scamming a scammer,"" ""Delusional,"" ""Princess treatment.""","Jargon motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Low vibrational","""P*ssy Power,"" ""Scamming a scammer,"" ""Delusional,"" ""Princess treatment.""","Jargon motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""High value","""P*ssy Power,"" ""Scamming a scammer,"" ""Delusional,"" ""Princess treatment.""","Jargon motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Rotation","""P*ssy Power,"" ""Scamming a scammer,"" ""Delusional,"" ""Princess treatment.""","Jargon motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Free the guys.""","""P*ssy Power,"" ""Scamming a scammer,"" ""Delusional,"" ""Princess treatment.""","Jargon motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
A specific step-by-step guide on how to commit a fraud (e.g.,,"The ""Method"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"the ""Amazon Method"").",,"The ""Method"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Using stolen credit card data (stored on a ""Fullz"") to buy luxury goods.",,"The ""Swipe"": motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Logs: Username and password combinations for bank accounts or retail sites.,,"BIN (Bank Identification Number) motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Used to hide the scammer's IP address while browsing the ""Dark Web.""",,"VPN / Tor: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Laptops or phones used once for a ""hit"" and then destroyed.",,"Burners: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
A person used to receive a package or transfer money so the scammer stays anonymous.,,"Mule motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"stealing from ""Big Banks"" or corporations rather than individuals.",,"Robin Hood"" behavior motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Common Specifics to Add,,"Theme motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Gaslighting,,"Toxic Lyrics motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Double Standards",,"Toxic Lyrics motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" Breadcrumbing",,"Toxic Lyrics motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Toxic King.""",,"Toxic Lyrics motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
CashApp,,"Scam Terms motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Bitcoin,,"Scam Terms motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Telegram groups,,"Scam Terms motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Dumping",,"Scam Terms motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Clone cards.""",,"Scam Terms motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Labels in the shadows",,"Industry Plant motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Fake streams",,"Industry Plant motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""A&R manufacturing",,"Industry Plant motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Nepo.""",,"Industry Plant motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"The idea that your closest friends or ""Day Ones"" will betray you for money.",,"The ""Snake"" in the Grass motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"World-building around the government watching your every move. Lyrics focus on ""wiretaps",,"The ""FEDs"" & RICO motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""informants",,"The ""FEDs"" & RICO motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" and ""the sting operation.""",,"The ""FEDs"" & RICO motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Mentions of ""Blacked-out windows",,"The ""Privacy"" Flex: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Private entries",,"The ""Privacy"" Flex: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""NDAs",,"The ""Privacy"" Flex: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" and ""Gated communities."" It’s a status symbol to be unreachable.",,"The ""Privacy"" Flex: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Modern rap has moved from ""spending it all"" to ""owning it all."" This is the ""CEO Agenda.""",,"The ""Generational Wealth & Legacy"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Mentions of buying land for their mother,,"The ""Family Office"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
setting up trust funds for children,,"The ""Family Office"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"and hiring their friends as ""consultants"" rather than just giving them cash.",,"The ""Family Office"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Moving away from ""jewelry"" and toward ""stocks",,"Equity vs. Cash: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""REITs"" (Real Estate Investment Trusts)",,"Equity vs. Cash: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"and ""Owning the Masters.""",,"Equity vs. Cash: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Referencing Jay-Z,,"The ""Mogul"" Blueprint motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Dr. Dre,,"The ""Mogul"" Blueprint motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"or P. Diddy as the ""Godfathers"" of this transition from artist to billionaire.",,"The ""Mogul"" Blueprint motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
This adds a supernatural or philosophical layer to the world-building,,"The ""Esoteric & Spiritual Warfare"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"common in both ""conscious"" and ""dark"" rap.",,"The ""Esoteric & Spiritual Warfare"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"The recurring motif of the ""Devil at the crossroads."" It’s used to explain sudden fame or the feeling of losing one's identity to the industry.",,"Selling the Soul"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"A theme prevalent in UK and NYC Drill/Grime—the idea that others' jealousy is a literal curse or ""negative energy"" that can cause your downfall.",,"The ""Evil Eye"" (Nazar): motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
The idea that the world is a simulation or a trap (debt,,"The ""Matrix"" Breakout: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
taxes,,"The ""Matrix"" Breakout: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"9-to-5s) and rap is the only way to ""glitch"" out of it.",,"The ""Matrix"" Breakout: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Rappers build worlds around their specific territory,,"The ""Geographic Mythology"" Theme motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
turning neighborhoods into legendary,,"The ""Geographic Mythology"" Theme motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"almost ""fictional"" sounding realms.",,"The ""Geographic Mythology"" Theme motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
A universal term for the most dangerous parts of any city.,,"""The Trenches"": motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
The physical journey from the concrete of the city to the glass of the high-rise.,,"The ""Block"" vs. The ""Penthouse"": motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Every city has its ""Mecca"" (e.g.",,"The ""Hub"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Magic City in Atlanta,,"The ""Hub"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Starlets in NYC,,"The ""Hub"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
The 6 in Toronto). These locations are treated like sacred ground in the lyrics.,,"The ""Hub"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Making it out ""against all odds.""","""The Concrete Jungle,"" ""Survival of the fittest,"" ""Apex predator.""","Survivalism motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"The constant battle with ""The State.""","""Public Defender,"" ""RICO,"" ""Co-defendant,"" ""No-Knock warrant.""","The Judicial System motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Using objects to fill emotional voids.,"""Retail Therapy,"" ""Shopping to forget,"" ""Diamonds for the pain.""","Hyper-Consumerism motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Positioning the rapper as a King or God.,"""The Throne,"" ""Kingdom,"" ""Prince of the City,"" ""Crown.""","Monarchy / Royalty motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Using drugs,"""G5 flights,"" ""Zaza clouds,"" ""Island hopping,"" ""Numbing the pain.""","Escapism motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
travel,"""G5 flights,"" ""Zaza clouds,"" ""Island hopping,"" ""Numbing the pain.""","Escapism motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
or sex to flee reality.,"""G5 flights,"" ""Zaza clouds,"" ""Island hopping,"" ""Numbing the pain.""","Escapism motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
The moral foundation of the underground.,"""Omertà,"" ""No paperwork,"" ""Taking it to the grave,"" ""Solid.""","The ""Code of Silence"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"There is a specific ""Ada"" regarding how power is distributed in the music world that rappers often build their lyrics around:",,"(The Agenda) of Industry Power motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"The belief that ""Secret Societies"" or a ""Cabal"" of executives decide who wins. This leads to lyrics about ""the 1%",,"The ""Shadow"" Agenda: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""gatekeepers",,"The ""Shadow"" Agenda: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" and ""vultures"" (people who profit off the culture without being part of it).",,"The ""Shadow"" Agenda: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"The glorification of the ""Independent Grind."" Artists like Nipsey Hussle or Russ built their world around ""Direct-to-Consumer"" sales and skipping the ""middleman.""",,"The ""Independent"" Agenda: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"ransform a rapper’s environment from a playground into a chessboard. It is the transition from ""having it all"" to ""realizing everyone wants to take it."" This mythology is built on the idea that the ""Eye"" (the Government",,"Paranoia and Surveillance motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
the Envious,,"Paranoia and Surveillance motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
or the Industry) is always watching.,,"Paranoia and Surveillance motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
It treats the government as an omnipresent antagonist,,"The Surveillance State (The ""FED"" Narrative) motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"The classic imagery of a plain white van or a ""tinted SUV"" parked down the block. It’s the visual shorthand for a wiretap or a stakeout.",,"The ""Van"" Motif motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
In modern rap (especially after the Young Thug/YSL case),,"The ""RICO"" Shadow motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"the RICO Act is the ultimate boogeyman. It represents the government’s ability to turn a ""crew"" into a ""criminal enterprise.""",,"The ""RICO"" Shadow motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"The distinction between ""12"" (standard police) and ""The Feds"" or ""Task Force."" The former is a nuisance; the latter is a career-ender.",,"The ""Blue & White"" vs. ""Undercover"": motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Lyrics about ""switching SIM cards",,"Digital Footprints: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""staying off the 'Gram",,"Digital Footprints: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" and ""encrypted chats"" (Telegram/Signal). This builds a world where a single Instagram post is a self-incriminating piece of evidence.",,"Digital Footprints: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
If the Feds are the external threat,,"The ""Snake"" Mythology (Internal Paranoia) motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"the ""Snake"" is the internal one. This theme focuses on the psychological toll of not knowing who to trust.",,"The ""Snake"" Mythology (Internal Paranoia) motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"The friend who has been there since day one but is secretly working with the ""Opps"" or the ""State.""",,"The ""Judas"" Archetype: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"This isn't just a catchy phrase; it’s a survival strategy. World-building lyrics often describe the rapper ""cutting people off"" or ""staying in the house"" to avoid betrayal.",,"""Keep Your Circle Small"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"A recurring motif where the rapper looks around a table of his ""friends"" and wonders who would ""fold"" (confess) under pressure.",,"The ""Dinner Table"" Test: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
In many rap cultures (specifically UK Drill and Caribbean-influenced rap),,"The ""Evil Eye"" & Envy (The Esoteric Threat) motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"paranoia takes a spiritual turn through the ""Evil Eye"" or ""Juju.""",,"The ""Evil Eye"" & Envy (The Esoteric Threat) motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
A common metaphor for people who are obsessed with the rapper's success and are waiting for them to fail.,,"Watching My Plate"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"The idea that ""negative energy"" can literally manifest as bad luck",,"Vibrations & Energy: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
a car crash,,"Vibrations & Energy: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
or a failed deal.,,"Vibrations & Energy: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Wearing certain jewelry (like the ""Eye of Fatima"" or ""Hamsa"") not just for fashion",,"Protective Charms: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"but as a spiritual ""bulletproof vest"" against jealousy.",,"Protective Charms: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Police Helicopters (""Ghetto Birds"").","Establishes the feeling of being ""hunted"" from above.","""The Sky"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Official court documents/transcripts.,"Used to prove someone is an informant (""snitch"").","""Paperwork"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Hidden microphones.,"Creates a world where even ""pillow talk"" is dangerous.","""Wire"" / ""Bug"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"People who are easy to rob or ""set up.""",Highlights the constant threat of being a target.,"""Stains"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Limo tint on windows/all-black clothing.,"The visual of wanting to be ""invisible"" while in public.","""Blacked Out"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
A secondary,"Shows the need for a ""fallback"" position if things go wrong.","""Safe House"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
secret residence.,"Shows the need for a ""fallback"" position if things go wrong.","""Safe House"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"A newer ""Ada"" (Agenda) in paranoia world-building is the idea that the entire system is a Simulation designed to keep people ""asleep.""",,"The ""Matrix"" & The Simulation motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Rappers describing the feeling that their life is a curated show for the masses,,"The Truman Show"" Effect motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
and they are being watched by an audience that wants to see them crash.,,"The Truman Show"" Effect motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Lyrics about escaping the ""mental plantation"" of debt",,"""Free Your Mind"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
social media addiction,,"""Free Your Mind"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
and 9-to-5 labor.,,"""Free Your Mind"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"When a rapper sees something ""off"" in the industry (like a sudden death or a weird contract)",,"The ""Glitch"": motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
they describe it as a glitch in the Matrix.,,"The ""Glitch"": motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"The woman who was there before the fame. She represents ""Loyalty"" and ""Realness."" She is the one the rapper ""buys the house"" for.",,"The ""Main"" / ""First Lady motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
